Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
46750	82	56	0	24	1	0	0	92127	7	0	0	54439	1	62725	0	87225	7	127328	0	136733	42579
47000	80	68	0	29	7	0	0	92651	91	0	0	56044	1	54211	1	87103	52	134260	0	131682	42586
47250	83	70	0	32	7	0	0	84388	6	0	0	52866	0	54419	0	88849	10	121888	0	130649	50991
47500	119	143	0	63	3	7	0	86246	5	0	0	53431	0	56719	0	88522	0	118520	0	148185	43752
47750	173	59	0	23	7	0	0	85947	6	0	0	53757	0	54904	0	89521	1	119559	0	127400	43054
48000	76	63	0	140	105	0	0	95246	5	2	0	58037	99	54141	0	92044	6	123989	0	130156	44984
48250	80	46	1	2	1	0	0	92848	32	0	0	54856	1	54236	144	91754	28	121474	0	136540	46178
48500	109	62	0	4	2	0	2	95303	11	0	0	55381	0	55053	0	93955	2	125535	0	140040	48888
48750	95	69	1	19	1	0	2	96420	26	0	0	59095	0	54827	0	94522	6	129155	0	148408	44975
49000	109	78	0	9	0	0	0	138122	9	5	0	66433	0	56317	0	98053	7	133128	0	127036	45185
49250	192	64	0	5	2	0	2	114797	10	2	0	64072	0	55617	1	115123	8	194342	0	132114	45710
49500	114	66	0	12	1	0	2	130639	5	1	0	58567	1	56002	0	91146	0	185706	0	127513	45817
49750	91	65	0	3	2	0	1	97281	4	0	0	62339	1	57332	0	90464	7	168903	0	135589	49086
50000	91	71	1	114	95	4	3	101980	5	1	0	58215	90	58139	0	91472	0	195289	1	173491	47504
50250	111	85	0	5	0	0	45	174335	3	0	0	57010	0	59590	0	94646	30	196744	0	180860	49765
50500	100	197	1	1	0	0	0	153551	95	1	0	58708	1	58840	0	99300	7	159004	0	141353	48970
50750	181	77	0	0	2	0	1	118671	7	0	0	62737	0	60847	0	96048	0	208387	0	143752	62298
